variant,n_overlap_fig2,pearson_vs_fig2,spearman_vs_fig2,mean_abs_diff,max_abs_diff,base_dir
s12_o24,28,0.6095439452264676,0.7197591680350302,0.07804666140249797,0.14596444368362427,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s12_o24
s6_o22,28,0.6041918756753244,0.6770662287903666,0.06097749301365444,0.18791961669921875,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s6_o22
s10_o24,28,0.5921470284289777,0.696223316912972,0.06866152903863362,0.1739153265953064,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s10_o24
s12_o26,28,0.5565001554378679,0.6781609195402298,0.0648401996919087,0.19172143936157227,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s12_o26
s12_o28,28,0.5565001554378679,0.6781609195402298,0.0648401996919087,0.19172143936157227,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s12_o28
s12_o30,28,0.5565001554378679,0.6781609195402298,0.0648401996919087,0.19172143936157227,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s12_o30
s10_o26,28,0.5393060129626337,0.6628352490421456,0.06244109358106341,0.2173517346382141,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s10_o26
s10_o28,28,0.5393060129626337,0.6628352490421456,0.06244109358106341,0.2173517346382141,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s10_o28
s10_o30,28,0.5393060129626337,0.6628352490421456,0.06244109358106341,0.2173517346382141,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s10_o30
s8_o24,28,0.5296527267027817,0.6360153256704981,0.0633496344089508,0.21758413314819336,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s8_o24
s6_o24,28,0.49112859430861344,0.5938697318007663,0.06471210079533714,0.23197925090789795,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s6_o24
s8_o26,28,0.4688781612707773,0.571975916803503,0.06442918309143611,0.25553345680236816,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s8_o26
s8_o28,28,0.4688781612707773,0.571975916803503,0.06442918309143611,0.25553345680236816,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s8_o28
s8_o30,28,0.4688781612707773,0.571975916803503,0.06442918309143611,0.25553345680236816,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s8_o30
s6_o26,28,0.4296771277431267,0.5259989053092501,0.07065350030149732,0.2714649438858032,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s6_o26
s6_o28,28,0.4296771277431267,0.5259989053092501,0.07065350030149732,0.2714649438858032,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s6_o28
s6_o30,28,0.4296771277431267,0.5259989053092501,0.07065350030149732,0.2714649438858032,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s6_o30
