variant,n_overlap_fig2,pearson_vs_fig2,spearman_vs_fig2,mean_abs_diff,max_abs_diff,base_dir
s18_o22,28,0.6566911568335989,0.7235905856595511,0.19764169518436706,0.29025509953498846,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s18_o22
s14_o22,28,0.6224174722510166,0.6694033935413245,0.1538448461464473,0.24723953008651733,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s14_o22
s16_o22,28,0.620151780169274,0.6830870279146142,0.16492805523531778,0.27811160683631897,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s16_o22
s18_o24,28,0.530227222882655,0.5862068965517241,0.12942756925310409,0.23560839891433716,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s18_o24
s18_o26,28,0.5053536957638394,0.5561029009304871,0.11016306493963514,0.2082163691520691,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s18_o26
s18_o28,28,0.5053536957638394,0.5561029009304871,0.11016306493963514,0.2082163691520691,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s18_o28
s18_o30,28,0.5053536957638394,0.5561029009304871,0.11016306493963514,0.2082163691520691,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s18_o30
s16_o24,28,0.49609993219676335,0.5643130815544608,0.10854575037956238,0.19999980926513672,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s16_o24
s12_o22,28,0.4874539055669892,0.5621237000547346,0.10552101262978145,0.18866360187530518,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s12_o22
s14_o24,28,0.47237205670124216,0.5243568691844555,0.10361910079206739,0.2004610300064087,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s14_o24
s16_o26,28,0.4639556080358794,0.5424192665571976,0.0914960503578186,0.1698242425918579,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s16_o26
s16_o28,28,0.4639556080358794,0.5424192665571976,0.0914960503578186,0.1698242425918579,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s16_o28
s16_o30,28,0.4639556080358794,0.5424192665571976,0.0914960503578186,0.1698242425918579,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s16_o30
s14_o26,28,0.4320869162477388,0.4805692391899289,0.08559675301824297,0.16996800899505615,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s14_o26
s14_o28,28,0.4320869162477388,0.4805692391899289,0.08559675301824297,0.16996800899505615,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s14_o28
s14_o30,28,0.4320869162477388,0.4805692391899289,0.08559675301824297,0.16996800899505615,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s14_o30
s6_o22,28,0.41575901794599696,0.5216201423097975,0.059074614729200094,0.23941653966903687,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s6_o22
s10_o22,28,0.4086644986489087,0.48440065681444994,0.07059483868735177,0.21533513069152832,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s10_o22
s8_o22,28,0.3921106261833407,0.5254515599343186,0.06240838553224291,0.23171257972717285,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s8_o22
s12_o24,28,0.327027913903099,0.4340448823207444,0.07332671965871539,0.21092933416366577,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s12_o24
s12_o26,28,0.29403902457208836,0.4050355774493705,0.06614382565021515,0.24341273307800293,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s12_o26
s12_o28,28,0.29403902457208836,0.4050355774493705,0.06614382565021515,0.24341273307800293,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s12_o28
s12_o30,28,0.29403902457208836,0.4050355774493705,0.06614382565021515,0.24341273307800293,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s12_o30
s10_o24,28,0.2767886144667724,0.36124794745484395,0.06698557947363172,0.2704865336418152,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s10_o24
s6_o24,28,0.2693105095994363,0.36398467432950193,0.07673306550298419,0.2859295606613159,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s6_o24
s8_o24,28,0.247433284718052,0.3415435139573071,0.07123403038297381,0.2869141697883606,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s8_o24
