model_key,relation_key,n_total,n_train,n_test,core_q,thr_train_delta,delta_mean_test,delta_mean_test_core,delta_mean_test_periphery,core_frac_test,gap_core_minus_periphery,gap_core_minus_all,pos_share_core
gemma_7b_it,fruit_outside_color,30,22,8,0.3,0.7893358767032623,0.754430316388607,0.7982238531112671,0.7481740968567985,0.125,0.050049756254468614,0.043793536722660065,0.13225606059488304
gemma_7b_it,landmark_in_country,836,627,209,0.3,0.7759015917778015,0.7504284983616697,0.7945722142855326,0.7350493973301303,0.2583732057416268,0.05952281695540229,0.0441437159238629,0.27357192676767617
gemma_7b_it,landmark_on_continent,947,710,237,0.3,0.8168352007865906,0.7937562392733771,0.8315192012043743,0.7755828138440848,0.32489451476793246,0.0559363873602895,0.03776296193099715,0.3403513749294382
gemma_7b_it,name_birthplace,31,23,8,0.3,0.804631233215332,0.7863860428333282,0.8138938744862875,0.7698813438415527,0.375,0.04401253064473476,0.027507831652959225,0.3881175228297459
gemma_7b_it,name_religion,31,23,8,0.3,0.7864315986633301,0.7507916018366814,,0.7507916018366814,0.0,,,0.0
gemma_7b_it,object_superclass,76,57,19,0.3,0.782543420791626,0.7768007046297977,0.7981929012707302,0.7643219232559204,0.3684210526315789,0.03387097801480976,0.021392196640932504,0.37856694405209473
gemma_7b_it,occupation_age,45,33,12,0.3,0.7935065269470215,0.7480820268392563,0.7945218086242676,0.7438602284951643,0.08333333333333333,0.05066158012910327,0.04643978178501129,0.08850653851214077
gemma_7b_it,person_father,991,743,248,0.3,0.5347654819488525,0.49258456619516494,0.5718200786473,0.4595320381437029,0.29435483870967744,0.11228804050359709,0.07923551245213506,0.3417037775286131
gemma_7b_it,person_mother,994,745,249,0.3,0.5123542666435241,0.46621402960465136,0.5458201610878722,0.43319557734172454,0.2931726907630522,0.1126245837461477,0.07960613148322088,0.3432319817457025
gemma_7b_it,person_native_language,919,689,230,0.3,0.8168046474456787,0.7857848963011866,0.8304539814827934,0.7689336845260895,0.27391304347826084,0.06152029695670391,0.04466908518160673,0.2894840287810807
gemma_7b_it,person_occupation,821,615,206,0.3,0.7908041954040528,0.7704322992019284,0.807951048568443,0.7571032698217192,0.2621359223300971,0.05084777874672386,0.03751874936651467,0.27490149820230664
gemma_7b_it,person_plays_instrument,513,384,129,0.3,0.8195146739482879,0.8002230677493783,0.8309732841120826,0.7883197581896217,0.27906976744186046,0.042653525922460855,0.030750216362704252,0.2897935969276338
gemma_7b_it,person_plays_position_in_sport,952,714,238,0.3,0.8217902064323426,0.7599608900667238,0.8389195979587616,0.7315357552255903,0.2647058823529412,0.10738384273317125,0.07895870789203774,0.29220839559434614
gemma_7b_it,person_plays_pro_sport,318,238,80,0.3,0.7902074038982392,0.7855781681835652,0.8057788687367593,0.7727981331397076,0.3875,0.032980735597051725,0.020200700553194118,0.397464344455323
gemma_7b_it,person_university,91,68,23,0.3,0.6804618835449219,0.6384599027426346,0.696964273850123,0.6178113011752858,0.2608695652173913,0.07915297267483723,0.058504371107488407,0.28477397924334086
gemma_7b_it,pokemon_evolutions,44,33,11,0.3,0.5535031318664551,0.5032450231638822,0.5710055828094482,0.48818712102042305,0.18181818181818182,0.08281846178902519,0.06776055964556604,0.20629950043368103
gemma_7b_it,product_by_company,522,391,131,0.3,0.6881040334701538,0.6393634699683153,0.7134722643428378,0.6005856124467628,0.3435114503816794,0.11288665189607505,0.07410879437452256,0.3833279563870842
gemma_7b_it,star_constellation,362,271,91,0.3,0.693564236164093,0.6581429557485895,0.7090472245917601,0.6277790059123123,0.37362637362637363,0.08126821867944778,0.050904268843170564,0.4025246201301942
gemma_7b_it,substance_phase,50,37,13,0.3,0.8113154530525207,0.7931288939255935,0.8121291399002075,0.7915455400943756,0.07692307692307693,0.02058359980583191,0.019000245974614027,0.07876585102178443
gemma_7b_it,superhero_archnemesis,96,72,24,0.3,0.5070111691951752,0.4780444862941901,0.5380968536649432,0.4533170409062329,0.2916666666666667,0.08477981275871027,0.06005236737075309,0.32830608897702185
gemma_7b_it,superhero_person,100,75,25,0.3,0.5566795110702515,0.5184692251682281,0.5733227034409841,0.5011470741347263,0.24,0.07217562930625787,0.054853478272755996,0.2653917381136553
gemma_7b_it,task_done_by_person,32,24,8,0.3,0.6759461402893067,0.6426203399896622,0.683050254980723,0.6183623909950257,0.375,0.06468786398569737,0.040429914991060856,0.3985928077251519
gemma_7b_it,task_done_by_tool,52,39,13,0.3,0.6383373498916626,0.5854925238169156,0.6581763327121735,0.5531886087523566,0.3076923076923077,0.10498772395981681,0.07268380889525783,0.3458896338426957
gemma_7b_it,verb_past_tense,76,57,19,0.3,0.724223279953003,0.7157633806529798,0.7393108521189008,0.7020273556311926,0.3684210526315789,0.037283496487708234,0.023547471465920955,0.3805415165429518
gemma_7b_it,word_first_letter,241,180,61,0.3,0.74846311211586,0.7192797773197049,0.7668656349182129,0.7037626498419306,0.2459016393442623,0.06310298507628231,0.047585857598507975,0.2621699131954743
gemma_7b_it,word_last_letter,241,180,61,0.3,0.740126633644104,0.7038381705518628,0.7586129744847615,0.685976821443309,0.2459016393442623,0.07263615304145254,0.054774803932898686,0.26503844471430843
gemma_7b_it,word_sentiment,60,45,15,0.3,0.8196649432182312,0.8014900128046671,0.849402591586113,0.7840672568841414,0.26666666666666666,0.06533533470197161,0.047912578781445836,0.28260783557823244
gemma_7b_it,work_location,38,28,10,0.3,0.7103751540184021,0.6508609414100647,0.7347338199615479,0.6298927217721939,0.2,0.10484109818935394,0.08387287855148318,0.22577290269401507
llama3_1_8b_instruct,adj_antonym,100,75,25,0.3,0.6144278049468994,0.5989082562923431,0.6310722082853317,0.5692184544526614,0.48,0.06185375383267033,0.032163951992988604,0.5057780666645184
