model_key,relation_key,cos_improvement,n_test,subject_layer,object_layer,direction_norm
llama3_1_8b_instruct,person_university,0.6718930602073669,23,16,30,30.097332000732425
llama3_1_8b_instruct,pokemon_evolutions,0.5809087157249451,11,16,30,26.922758102416992
llama3_1_8b_instruct,presidents_birth_year,0.6781224012374878,5,16,30,31.94310569763184
llama3_1_8b_instruct,presidents_election_year,0.7486290335655212,5,16,30,35.52044677734375
llama3_1_8b_instruct,product_by_company,0.6758498549461365,131,16,30,36.90144729614258
llama3_1_8b_instruct,star_constellation,0.6618081331253052,91,16,30,33.8377685546875
llama3_1_8b_instruct,substance_phase,0.7807378172874451,13,16,30,42.27385711669922
llama3_1_8b_instruct,superhero_archnemesis,0.5370672941207886,24,16,30,24.529878616333008
llama3_1_8b_instruct,superhero_person,0.6031407713890076,25,16,30,28.41311264038086
llama3_1_8b_instruct,task_done_by_person,0.6274229884147644,8,16,30,38.19161224365234
llama3_1_8b_instruct,task_done_by_tool,0.5915794372558594,13,16,30,36.03073501586914
llama3_1_8b_instruct,verb_past_tense,0.6629680395126343,19,16,30,37.98641586303711
llama3_1_8b_instruct,word_first_letter,0.7650341391563416,61,16,30,42.70309066772461
llama3_1_8b_instruct,word_last_letter,0.7574681639671326,61,16,30,39.77633666992188
llama3_1_8b_instruct,word_sentiment,0.8026292324066162,15,16,30,40.30150985717773
llama3_1_8b_instruct,work_location,0.6527260541915894,10,16,30,40.795291900634766
mistral_7b_instruct,adj_antonym,0.5950384736061096,25,16,30,20.57788848876953
mistral_7b_instruct,adj_comparative,0.6131730675697327,17,16,30,18.78674697875977
mistral_7b_instruct,adj_superlative,0.5998722910881042,20,16,30,18.316383361816406
mistral_7b_instruct,characteristic_gender,0.779816746711731,8,16,30,26.365142822265625
mistral_7b_instruct,city_in_country,0.6442080736160278,7,16,30,20.46006965637207
mistral_7b_instruct,company_ceo,0.4673483371734619,75,16,30,9.335633277893066
mistral_7b_instruct,company_hq,0.6031975150108337,169,16,30,18.688289642333984
mistral_7b_instruct,country_capital_city,0.558674156665802,6,16,30,18.106351852416992
mistral_7b_instruct,country_currency,0.5317971706390381,8,16,30,16.852313995361328
mistral_7b_instruct,country_language,0.6993296146392822,6,16,30,25.10190963745117
mistral_7b_instruct,country_largest_city,0.597420871257782,6,16,30,21.49205207824707
mistral_7b_instruct,degree_gender,0.7941268682479858,10,16,30,27.556331634521484
mistral_7b_instruct,food_from_country,0.7264295816421509,8,16,30,22.547473907470703
mistral_7b_instruct,fruit_inside_color,0.6805005073547363,9,16,30,23.44029235839844
mistral_7b_instruct,fruit_outside_color,0.6535813808441162,8,16,30,23.158098220825195
mistral_7b_instruct,landmark_in_country,0.6936495304107666,209,16,30,21.043649673461918
mistral_7b_instruct,landmark_on_continent,0.695581316947937,237,16,30,18.1143741607666
mistral_7b_instruct,name_birthplace,0.7908815741539001,8,16,30,24.423545837402344
mistral_7b_instruct,name_gender,0.8533357381820679,5,16,30,23.290245056152344
mistral_7b_instruct,name_religion,0.7218347787857056,8,16,30,21.598350524902344
mistral_7b_instruct,object_superclass,0.7747995257377625,19,16,30,22.033042907714844
mistral_7b_instruct,occupation_age,0.7538377642631531,12,16,30,25.381345748901367
mistral_7b_instruct,occupation_gender,0.7564210295677185,5,16,30,27.47257232666016
mistral_7b_instruct,person_band_lead_singer,0.4891374111175537,6,16,30,16.037343978881836
mistral_7b_instruct,person_father,0.4101126194000244,248,16,30,10.045653343200684
mistral_7b_instruct,person_mother,0.3719995021820068,249,16,30,8.545909881591797
mistral_7b_instruct,person_native_language,0.8009238839149475,230,16,30,23.49254035949707
mistral_7b_instruct,person_occupation,0.7168744206428528,206,16,30,21.90017890930176
mistral_7b_instruct,person_plays_instrument,0.7266291975975037,129,16,30,21.13808822631836
mistral_7b_instruct,person_plays_position_in_sport,0.6774721145629883,238,16,30,18.280580520629883
mistral_7b_instruct,person_plays_pro_sport,0.7796016931533813,80,16,30,23.50429916381836
mistral_7b_instruct,person_university,0.5620395541191101,23,16,30,14.2453031539917
mistral_7b_instruct,pokemon_evolutions,0.5225355625152588,11,16,30,13.004594802856444
mistral_7b_instruct,presidents_birth_year,0.6865707635879517,5,16,30,16.302162170410156
mistral_7b_instruct,presidents_election_year,0.7028596997261047,5,16,30,16.7988224029541
mistral_7b_instruct,product_by_company,0.6057104468345642,131,16,30,20.29825782775879
mistral_7b_instruct,star_constellation,0.5752062797546387,91,16,30,15.955330848693848
mistral_7b_instruct,substance_phase,0.7515889406204224,13,16,30,22.81303977966309
